Rank,Word,Occurrences,Duolingo_Words,JLPT_Words,JLPT_Level
1,の,100210912,1,1,N5
2,に,48486620,1,1,N5
3,を,45359475,1,1,N5
4,は,44889871,1,1,N5
5,年,36248501,1,1,N5
6,が,35947527,1,1,N5
7,た,33512205,1,0,
8,で,31990565,1,1,N5
9,て,30603437,1,0,
10,と,27106309,1,1,N5
11,し,25876681,1,0,
12,月,22100273,1,1,N3
13,日,19498084,1,1,N4
14,れ,13622644,0,0,
15,さ,13476266,1,0,
16,者,12525647,1,1,N3
17,する,11437408,0,0,
18,も,10751257,1,1,N5
19,ます,10560217,1,0,
20,利用,10474017,0,1,N4
21,こと,8758344,0,0,
22,ある,8719101,0,0,
23,いる,8447518,0,0,
24,な,8403153,1,0,
25,から,7117470,1,1,N5
26,い,6821996,1,0,
27,ない,6511289,1,0,
28,ページ,5975399,1,0,
29,第,5552379,0,1,N1
30,へ,4915429,1,1,N5
31,や,4864865,1,1,N5
32,日本,4802145,1,1,N3
33,として,4730669,0,0,
34,です,4603205,0,1,N5
35,か,4517292,1,0,
36,会話,4511440,0,1,N4
37,削除,4399572,1,1,N2
38,この,4319178,1,1,N3
39,市,4237886,1,1,N4
40,県,4172373,1,1,N3
41,れる,4087004,0,0,
42,あり,3994018,0,0,
43,ん,3927661,1,0,
44,よう,3592448,1,0,
45,ため,3527457,0,0,
46,的,3512391,1,1,N3
47,編集,3499589,1,1,N2
48,ください,3487583,1,0,
49,人,3446854,1,1,N5
50,という,3393215,0,0,
51,など,3164644,0,0,
52,依頼,3077750,0,1,N3
53,なっ,3075241,0,0,
54,名,2915854,1,1,N3
55,版,2911015,0,1,N1
56,でき,2899015,0,0,
57,ませ,2855370,1,0,
58,リンク,2841040,0,0,
59,駅,2785996,1,1,N5
60,記事,2618516,1,1,N3
61,‐,2582555,0,0,
62,について,2580463,0,0,
63,う,2561249,1,0,
64,その,2478738,1,1,N3
65,もの,2429116,1,0,
66,投稿,2427826,0,0,
67,ば,2377443,1,0,
68,町,2324190,1,1,N5
69,まし,2303818,0,0,
70,なる,2202929,0,0,
71,場合,2178072,0,1,N4
72,あっ,2114640,0,0,
73,ノート,2104611,1,0,
74,号,2071352,1,1,N1
75,方針,2053308,0,1,N2
76,回,2030286,1,1,N3
77,さん,2007230,1,0,
78,まで,1984782,0,0,
79,だ,1984114,1,0,
80,中,1955319,1,1,N5
81,ので,1935849,0,1,N5
82,一,1930524,1,1,N5
83,放送,1929684,0,1,N4
84,後,1895699,1,1,N5
85,おり,1830729,0,0,
86,人物,1823937,0,1,N3
87,署名,1790311,0,1,N3
88,本,1770654,1,1,N5
89,において,1766401,0,0,
90,家,1754259,1,1,N5
91,られ,1733749,0,0,
92,また,1703312,0,0,
93,選手,1687559,0,1,N3
94,お,1683111,1,0,
95,活動,1672746,0,1,N3
96,東京,1639773,1,0,
97,画像,1638303,0,0,
98,会,1602809,0,1,N3
99,学校,1600836,1,1,N5
100,映画,1595930,1,1,N5
101,時,1581916,1,1,N3
102,情報,1579393,1,1,N3
103,性,1574457,0,1,N3
104,部,1570220,1,1,N1
105,より,1565260,0,0,
106,案内,1563512,0,1,N4
107,質問,1538836,1,1,N5
108,区,1525726,0,1,N1
109,ご,1517455,1,0,
110,大,1481669,0,1,N3
111,上,1478919,1,1,N5
112,紹介,1427701,0,1,N4
113,作成,1399991,0,1,N2
114,日本語,1381104,0,0,
115,これ,1368506,1,0,
116,位,1362274,1,1,N3
117,国,1354365,1,1,N5
118,二,1353558,1,1,N5
119,一覧,1350292,0,0,
120,作品,1338807,0,1,N3
121,ようこそ,1335698,0,0,
122,議論,1333300,0,1,N3
123,使用,1323486,0,1,N3
124,村,1316977,1,1,N5
125,出典,1315020,0,0,
126,世界,1313482,0,1,N4
127,テレビ,1308850,1,0,
128,による,1302745,0,0,
129,州,1296057,1,1,N3
130,なり,1294804,0,0,
131,三,1292933,1,1,N5
132,問題,1290330,1,1,N5
133,昭和,1277358,0,0,
134,線,1268451,1,1,N4
135,郡,1266391,0,1,N2
136,番組,1259573,0,1,N4
137,ファイル,1256470,0,0,
138,脚注,1249531,0,0,
139,賞,1234773,1,1,N3
140,なく,1226315,0,0,
141,なら,1223724,0,1,N4
142,自己,1210226,0,1,N1
143,話,1195373,1,1,N5
144,ず,1187563,1,0,
145,により,1173356,0,0,
146,分,1161388,1,1,N3
147,前,1157920,1,1,N5
148,代表,1152408,0,1,N3
149,たら,1150255,0,0,
150,せ,1148822,1,0,
151,化,1142394,0,0,
152,平成,1140029,0,0,
153,に関する,1135681,0,0,
154,できる,1127693,0,1,N3
155,出身,1116960,0,1,N3
156,仮,1116740,0,1,N1
157,スタイル,1116515,0,0,
158,ガイドライン,1116135,0,0,
159,思い,1102001,0,0,
160,方,1095831,1,1,N5
161,外部,1087057,0,1,N2
162,数,1082809,1,1,N3
163,五,1082067,1,1,N5
164,内容,1080586,0,1,N3
165,児童,1076772,0,1,N2
166,関連,1072424,0,1,N3
167,ヘルプ,1072012,0,0,
168,現在,1070173,0,1,N3
169,時代,1069553,0,1,N4
170,元,1068655,0,1,N3
171,それ,1057447,1,1,N3
172,研究,1049423,0,1,N4
173,新,1046962,1,1,N1
174,注意,1046053,0,1,N4
175,他,1045860,0,1,N3
176,金,1045552,1,1,N3
177,局,1044486,1,1,N3
178,機能,1041465,1,1,N3
179,あなた,1036602,0,0,
180,除去,1035310,0,0,
181,鉄道,1027993,0,1,N3
182,項目,1023820,0,1,N2
183,】,1023454,0,0,
184,【,1022237,0,0,
185,目,1005563,1,1,N5
186,とき,1003047,0,0,
187,用,1001072,0,1,N4
188,曲,992390,1,1,N1
189,社,988200,0,1,N1
190,使い方,987547,0,0,
191,必要,973655,0,1,N4
192,説明,971572,0,1,N4
193,基本,966733,0,1,N3
194,によって,964460,0,0,
195,大学,957096,1,1,N5
196,変更,938353,0,1,N3
197,水,926059,1,1,N5
198,新しい,921207,1,1,N5
199,チーム,920913,1,0,
200,執筆,916280,0,1,N2
201,道,916124,1,1,N5
202,間,911491,1,1,N4
203,型,909909,0,1,N3
204,でしょ,908169,0,0,
205,サッカー,896912,1,0,
206,大会,895408,0,1,N3
207,ガイドブック,892842,0,0,
208,地,882129,1,1,N3
209,のみ,881973,0,0,
210,み,877495,1,0,
211,書か,877199,0,0,
212,べき,871249,0,0,
213,たり,869955,0,0,
214,ブロック,868784,0,0,
215,私,867807,1,1,N5
216,戦,867139,0,1,N1
217,公式,866192,0,1,N2
218,出演,857571,0,1,N1
219,可能,852548,1,1,N3
220,登場,850347,0,1,N2
221,等,848832,0,1,N3
222,系,847282,1,1,N1
223,特別,843537,1,1,N4
224,監督,840711,1,1,N3
225,氏,836560,1,1,N3
226,次,834502,1,1,N5
227,だっ,825961,0,0,
228,高等,824560,0,1,N2
229,時間,824252,1,1,N5
230,き,821769,1,0,
231,〜,819632,0,0,
232,内,809599,1,1,N3
233,音楽,807338,1,1,N5
234,歴史,806029,0,1,N4
235,所,804117,1,1,N5
236,発売,803801,0,1,N2
237,だけ,797767,0,0,
238,語,797671,1,1,N3
239,なかっ,796984,0,0,
240,ボックス,794355,0,0,
241,生徒,793229,1,1,N5
242,学,777650,0,1,N3
243,記録,777453,0,1,N3
244,軍,771854,0,1,N3
245,万,769695,1,1,N5
246,！,765820,0,0,
247,場,765704,1,1,N3
248,全,763556,0,1,N3
249,別,761971,1,1,N4
250,初,757600,0,1,N1
251,シリーズ,757096,0,0,
252,土,756662,1,1,N3
253,木,753039,1,1,N5
254,総合,750709,0,1,N1
255,何,749709,1,1,N5
256,行っ,748926,0,0,
257,ゲーム,748250,1,0,
258,サイト,747011,0,0,
259,関係,746953,1,1,N4
260,られる,744523,0,0,
261,お願い,743466,0,0,
262,同じ,742226,1,1,N5
263,サンド,737968,0,0,
264,つ,733087,1,0,
265,考え,729892,1,1,N3
266,見,727968,1,0,
267,火,725205,1,1,N4
268,アルバム,722260,1,0,
269,点,716209,1,1,N4
270,機,713820,1,1,N1
271,アニメ,713094,1,0,
272,国際,709712,0,1,N4
273,法,709688,0,1,N3
274,ドラマ,709588,1,0,
275,大阪,709142,1,0,
276,ただし,707676,0,0,
277,行わ,705412,0,0,
278,たち,704547,1,0,
279,柱,703296,0,1,N1
280,マニュアル,694919,0,0,
281,リーグ,692638,0,0,
282,コメント,692238,0,0,
283,教育,685733,1,1,N4
284,野球,685032,1,0,
285,方々,683949,0,1,N3
286,確認,682216,1,1,N3
287,役,682188,1,1,N3
288,株式会社,681805,0,0,
289,同,681494,0,1,N1
290,こんにちは,679434,1,0,
291,書く,676634,1,1,N5
292,長,676397,1,1,N1
293,所属,674695,0,1,N1
294,開始,674579,0,1,N3
295,主,673022,1,0,
296,形,672643,1,1,N4
297,アメリカ,672212,1,0,
298,＝,662185,0,0,
299,アカウント,661509,0,0,
300,ここ,661470,1,1,N3
301,選手権,661402,0,0,
302,出場,660288,0,0,
303,たい,657404,1,0,
304,存在,655937,1,1,N3
305,十,653706,1,1,N5
306,記述,650283,0,1,N1
307,際,649642,1,1,N3
308,参考,647877,0,1,N3
309,事典,643658,0,0,
310,ら,643538,1,0,
311,史,642199,0,0,
312,以上,636276,0,1,N4
313,以下,631691,0,1,N4
314,作,629953,0,1,N1
315,競技,629309,0,1,N3
316,方法,627686,0,1,N3
317,結果,625995,0,1,N3
318,世,624346,0,1,N1
319,続け,623782,0,0,
320,における,623250,0,0,
321,歳,619648,1,1,N1
322,システム,619633,0,0,
323,および,616899,0,1,N2
324,科,614459,0,1,N1
325,権,611356,0,1,N1
326,参加,609940,0,1,N3
327,車,606502,1,1,N5
328,地域,606133,0,1,N3
329,委員,605962,0,1,N3
330,その後,601752,0,0,
331,高,599897,1,1,N1
332,クラブ,599358,0,0,
333,事業,596652,0,1,N1
334,都,596007,0,1,N4
