Rank,Word,Occurrences,Duolingo_Words,JLPT_Words,JLPT_Level,Definitions,JLPT_Levels,Final_JLPT_Level
1.0,の,100210912.0,1,1,N5,['indicates possessive'],,N5
2.0,に,48486620.0,1,1,N5,"['two', '2']",,N5
3.0,を,45359475.0,1,1,N5,['indicates direct object of action'],,N5
4.0,は,44889871.0,1,1,N5,['indicates sentence topic'],,N5
5.0,年,36248501.0,1,1,N5,['year'],,N5
6.0,が,35947527.0,1,1,N5,['indicates the subject of a sentence'],,N5
7.0,た,33512205.0,1,0,,['rice field'],,
8.0,で,31990565.0,1,1,N5,"['coming out', 'going out', 'outflow', 'efflux', 'rising (of the Sun or the Moon)']",,N5
9.0,て,30603437.0,1,0,,"['hand', 'arm']",,
10.0,と,27106309.0,1,1,N5,['door (esp. Japanese-style)'],,N5
11.0,し,25876681.0,1,0,,"['poem', 'poetry', 'verse']",,
12.0,月,22100273.0,1,1,N3,['Moon'],,N3
13.0,日,19498084.0,1,1,N4,['Sunday'],,N4
14.0,れ,13622644.0,0,0,,"['check mark', 'tick mark']",,
15.0,さ,13476266.0,1,0,,"['difference', 'variation']",,
16.0,者,12525647.0,1,1,N3,['person'],,N3
17.0,する,11437408.0,0,0,,"['to do', 'to carry out', 'to perform']",,
18.0,も,10751257.0,1,1,N5,"['too', 'also', 'in addition', 'as well', '(not) either (in a negative sentence)']",,N5
19.0,ます,10560217.0,1,0,,"['to increase', 'to grow']",,
20.0,利用,10474017.0,0,1,N4,"['use', 'utilization', 'utilisation', 'application']",,N4
21.0,こと,8758344.0,0,0,,"['thing', 'matter']",,
22.0,ある,8719101.0,0,0,,"['to be', 'to exist', 'to live']",,
23.0,いる,8447518.0,0,0,,"['to be (of animate objects)', 'to exist']",,
24.0,な,8403153.0,1,0,,"[""don't""]",,
25.0,から,7117470.0,1,1,N5,"['from (e.g. time, place, numerical quantity)', 'since']",,N5
26.0,い,6821996.0,1,0,,['stomach'],,
27.0,ない,6511289.0,1,0,,"['nonexistent', 'not being (there)']",,
28.0,ページ,5975399.0,1,0,,['page'],,
29.0,第,5552379.0,0,1,N1,['prefix for forming ordinal numbers'],,N1
30.0,へ,4915429.0,1,1,N5,"['to', 'towards', 'for']",,N5
31.0,や,4864865.0,1,1,N5,['arrow'],,N5
32.0,日本,4802145.0,1,1,N3,['Japan'],,N3
33.0,として,4730669.0,0,0,,"['as (i.e. in the role of)', 'for (i.e. from the viewpoint of)']",,
34.0,です,4603205.0,0,1,N5,"['be', 'is']",,N5
35.0,か,4517292.0,1,0,,['lesson'],,
36.0,会話,4511440.0,0,1,N4,"['conversation', 'talk', 'chat']",,N4
37.0,削除,4399572.0,1,1,N2,"['deletion', 'elimination', 'erasure', 'striking out']",,N2
38.0,この,4319178.0,1,1,N3,['this'],,N3
39.0,市,4237886.0,1,1,N4,['city'],,N4
40.0,県,4172373.0,1,1,N3,"['prefecture (of Japan)', 'county (of China, Taiwan, Norway, etc.)', 'department (of France)', 'province (of Italy, Spain, etc.)']",,N3
41.0,れる,4087004.0,0,0,,"['indicates passive voice (incl. the ""suffering passive"")']",,
42.0,あり,3994018.0,0,0,,['ant'],,
43.0,ん,3927661.0,1,0,,"['yes', 'yeah', 'uh huh']",,
44.0,よう,3592448.0,1,0,,"['appearing ...', 'looking ...']",,
45.0,ため,3527457.0,0,0,,"['good', 'advantage', 'benefit', 'welfare']",,
46.0,的,3512391.0,1,1,N3,"['-ical', '-ive', '-al', '-ic', '-y']",,N3
47.0,編集,3499589.0,1,1,N2,"['editing', 'compilation']",,N2
48.0,ください,3487583.0,1,0,,['please (give me)'],,
49.0,人,3446854.0,1,1,N5,"['person', 'someone', 'somebody']",,N5
50.0,という,3393215.0,0,0,,"['called', 'named', 'that says', 'that']",,
51.0,など,3164644.0,0,0,,"['et cetera', 'etc.', 'and the like', 'and so forth']",,
52.0,依頼,3077750.0,0,1,N3,"['request', 'commission', 'entrusting (with a matter)']",,N3
53.0,なっ,3075241.0,0,0,,"['long (distance, length)']",,
54.0,名,2915854.0,1,1,N3,"['name', 'given name']",,N3
55.0,版,2911015.0,0,1,N1,"['edition', 'version', 'printing', 'impression', 'implementation (of software)']",,N1
56.0,でき,2899015.0,0,0,,"['workmanship', 'craftsmanship', 'execution', 'finish']",,
57.0,ませ,2855370.0,1,0,,['short roughly woven fence'],,
58.0,リンク,2841040.0,0,0,,"['link', 'linking', 'linkage']",,
59.0,駅,2785996.0,1,1,N5,"['railway station', 'train station']",,N5
60.0,記事,2618516.0,1,1,N3,"['article', 'news story', 'report', 'account']",,N3
61.0,‐,2582555.0,0,0,,[],,
62.0,について,2580463.0,0,0,,"['about', 'on', 'regarding', 'concerning']",,
63.0,う,2561249.0,1,0,,"['the Rabbit (fourth sign of the Chinese zodiac)', 'the Hare']",,
64.0,その,2478738.0,1,1,N3,"['that', 'the']",,N3
65.0,もの,2429116.0,1,0,,"['thing', 'object', 'article', 'stuff', 'substance']",,
66.0,投稿,2427826.0,0,0,,"['contribution (to a newspaper, magazine, etc.)', 'submission', 'post (on a blog, social media, etc.)']",,
67.0,ば,2377443.0,1,0,,"['place', 'spot', 'space']",,
68.0,町,2324190.0,1,1,N5,"['town', 'block', 'neighbourhood', 'neighborhood']",,N5
69.0,まし,2303818.0,0,0,,"['better', 'preferable', 'less objectionable', 'least-worst']",,
70.0,なる,2202929.0,0,0,,"['to become', 'to get', 'to grow', 'to turn', 'to reach', 'to attain']",,
71.0,場合,2178072.0,0,1,N4,"['case', 'occasion', 'situation', 'circumstances']",,N4
72.0,あっ,2114640.0,0,0,,"['ah', 'oh']",,
73.0,ノート,2104611.0,1,0,,"['notebook', 'copy-book', 'exercise book']",,
74.0,号,2071352.0,1,1,N1,"['number', 'edition', 'make', 'model', 'issue', 'part of that group']",,N1
75.0,方針,2053308.0,0,1,N2,"['policy', 'course', 'plan (of action)', 'principle']",,N2
76.0,回,2030286.0,1,1,N3,['counter for occurrences'],,N3
77.0,さん,2007230.0,1,0,,"['three', '3']",,
78.0,まで,1984782.0,0,0,,"['until (a time)', 'till', 'to', 'up to']",,
79.0,だ,1984114.0,1,0,,"['be', 'is']",,
80.0,中,1955319.0,1,1,N5,"['medium (size)', 'average (grade, level, etc.)', 'middle']",,N5
81.0,ので,1935849.0,0,1,N5,"['that being the case', 'because of ...', 'the reason is ...', 'given that ...']",,N5
82.0,一,1930524.0,1,1,N5,"['one', '1']",,N5
83.0,放送,1929684.0,0,1,N4,"['broadcasting', 'broadcast', 'program', 'announcement']",,N4
84.0,後,1895699.0,1,1,N5,['after'],,N5
85.0,おり,1830729.0,0,0,,"['weave', 'weaving', 'woven item']",,
86.0,人物,1823937.0,0,1,N3,"['person', 'character', 'figure', 'personage', 'man', 'woman']",,N3
87.0,署名,1790311.0,0,1,N3,['signature'],,N3
88.0,本,1770654.0,1,1,N5,"['book', 'volume', 'script']",,N5
89.0,において,1766401.0,0,0,,"['at (a time or place)', 'in', 'on']",,
90.0,家,1754259.0,1,1,N5,"['house', 'residence', 'dwelling']",,N5
91.0,られ,1733749.0,0,0,,"['enumeration', 'citation', 'listing']",,
92.0,また,1703312.0,0,0,,"['again', 'once more', 'once again', 'another time', 'some other time']",,
93.0,選手,1687559.0,0,1,N3,"['player (of a sport)', 'athlete', 'team member']",,N3
94.0,お,1683111.0,1,0,,"['tail (of an animal)', 'cauda']",,
95.0,活動,1672746.0,0,1,N3,"['activity (of a person, organization, animal, volcano, etc.)', 'action', 'operation']",,N3
96.0,東京,1639773.0,1,0,,['Tokyo'],,
97.0,画像,1638303.0,0,0,,"['image', 'picture', 'portrait']",,
98.0,会,1602809.0,0,1,N3,"['meeting', 'assembly', 'party', 'gathering', 'conference', 'athletic meet']",,N3
99.0,学校,1600836.0,1,1,N5,['school'],,N5
100.0,映画,1595930.0,1,1,N5,"['movie', 'film', 'motion picture']",,N5
101.0,時,1581916.0,1,1,N3,"['time', 'hour', 'moment']",,N3
102.0,情報,1579393.0,1,1,N3,"['information', 'news', 'report', 'intelligence']",,N3
103.0,性,1574457.0,0,1,N3,['nature (of a person)'],,N3
104.0,部,1570220.0,1,1,N1,"['department (in an organization, company, etc.)', 'division', 'bureau', 'faculty']",,N1
105.0,より,1565260.0,0,0,,['than'],,
106.0,案内,1563512.0,0,1,N4,"['guidance', 'leading (the way)', 'showing around']",,N4
107.0,質問,1538836.0,1,1,N5,"['question', 'inquiry', 'enquiry']",,N5
108.0,区,1525726.0,0,1,N1,"['ward', 'borough', 'city (in Tokyo)']",,N1
109.0,ご,1517455.0,1,0,,"['five', '5']",,
110.0,大,1481669.0,0,1,N3,"['large', 'big', 'great', 'huge', 'vast', 'major', 'important', 'serious', 'severe']",,N3
111.0,上,1478919.0,1,1,N5,"['above', 'over', 'up']",,N5
112.0,紹介,1427701.0,0,1,N4,"['introduction', 'presentation', 'referral', 'showcase (of a product)']",,N4
113.0,作成,1399991.0,0,1,N2,"['making (a report, plan, contract, etc.)', 'drawing up', 'writing out', 'preparing', 'creating (a file, website, account, etc.)']",,N2
114.0,日本語,1381104.0,0,0,,['Japanese (language)'],,
115.0,これ,1368506.0,1,0,,"['this', 'this one']",,
116.0,位,1362274.0,1,1,N3,"['throne', 'crown', ""(nobleman's) seat""]",,N3
117.0,国,1354365.0,1,1,N5,"['country', 'state']",,N5
118.0,二,1353558.0,1,1,N5,"['two', '2']",,N5
119.0,一覧,1350292.0,0,0,,"['look', 'glance', 'sight', 'having a look at', 'looking over', 'glancing through', ""running one's eyes over""]",,
120.0,作品,1338807.0,0,1,N3,"['work (e.g. book, film, painting, composition)', 'piece', 'production', 'opus']",,N3
121.0,ようこそ,1335698.0,0,0,,['welcome'],,
122.0,議論,1333300.0,0,1,N3,"['argument', 'discussion', 'dispute', 'controversy']",,N3
123.0,使用,1323486.0,0,1,N3,"['use', 'application', 'employment', 'utilization', 'utilisation']",,N3
124.0,村,1316977.0,1,1,N5,['village'],,N5
125.0,出典,1315020.0,0,0,,"['source (e.g. quotation)', 'authority']",,
126.0,世界,1313482.0,0,1,N4,"['the world', 'society', 'the universe']",,N4
127.0,テレビ,1308850.0,1,0,,"['television', 'TV']",,
128.0,による,1302745.0,0,0,,"['by means of', 'due to', 'because of', 'according to']",,
129.0,州,1296057.0,1,1,N3,"['state (of the US, Australia, India, Germany, etc.)', 'province (e.g. of Canada)', 'county (e.g. of the UK)', 'region (e.g. of Italy)', 'canton', 'oblast']",,N3
130.0,なり,1294804.0,0,0,,"['or something', 'for instance ... (though there are other suitable options)']",,
131.0,三,1292933.0,1,1,N5,"['three', '3']",,N5
132.0,問題,1290330.0,1,1,N5,"['question (e.g. on a test)', 'problem']",,N5
133.0,昭和,1277358.0,0,0,,['Shōwa era (1926.12.25-1989.1.7)'],,
134.0,線,1268451.0,1,1,N4,"['line', 'stripe', 'stria']",,N4
135.0,郡,1266391.0,0,1,N2,"['district', 'county']",,N2
136.0,番組,1259573.0,0,1,N4,"['program (e.g. TV)', 'programme']",,N4
137.0,ファイル,1256470.0,0,0,,['file (for holding papers)'],,
138.0,脚注,1249531.0,0,0,,['footnote'],,
