Word,JLPT_Level,JLPT_Jisho_Level,JLPT_Additional_Difficulty
日,N4,N3,[]
や,N5,N1,[]
この,N3,N5,"['N1', 'N3']"
的,N3,N1,[]
その,N3,N5,['N3']
中,N5,N3,[]
放送,N4,N3,[]
後,N5,N3,[]
案内,N4,N3,[]
前,N5,N1,[]
できる,N3,N5,['N3']
方,N5,N3,[]
それ,N3,N5,"['N1', 'N3']"
他,N3,N5,['N3']
金,N3,N1,[]
等,N3,N5,['N3']
内,N3,N4,['N3']
ここ,N3,N1,[]
歳,N1,N5,[]
および,N2,N1,[]
都,N4,N3,[]
でも,N3,N5,['N3']
どう,N3,N2,['N1']
そう,N3,N1,[]
側,N3,N1,[]
川,N3,N5,['N3']
計画,N4,N3,[]
曖昧,N1,N2,['N1']
良い,N1,N5,"['N1', 'N3']"
運動,N4,N3,[]
街,N3,N5,['N3']
米,N4,N5,[]
船,N3,N4,['N3']
運転,N4,N3,[]
九,N5,N3,[]
始め,N1,N5,['N1']
見る,N3,N5,[]
そこ,N3,N5,['N1']
実,N3,N1,[]
経験,N4,N3,[]
彼ら,N4,N3,[]
角,N5,N1,[]
いえ,N3,N5,[]
超える,N2,N3,['N2']
一番,N3,N5,['N3']
箇所,N1,N2,['N1']
務める,N2,N5,['N2']
河,N3,N5,['N3']
少なくとも,N1,N2,['N1']
身体,N3,N5,"['N1', 'N3']"
準備,N4,N3,[]
対立,N1,N2,['N1']
付属,N1,N2,['N1']
佐,N1,N3,[]
相談,N4,N3,[]
大変,N3,N5,[]
保障,N1,N3,['N1']
答え,N1,N4,['N1']
児,N1,N4,['N1']
又は,N2,N4,['N2']
いつも,N3,N5,"['N1', 'N3']"
では,N3,N5,['N3']
堀,N2,N3,['N2']
すぎる,N5,N4,[]
組み合わせ,N1,N2,['N1']
どれ,N3,N5,"['N1', 'N3']"
まい,N3,N1,[]
輸入,N4,N3,[]
起こす,N1,N4,['N1']
縦,N3,N5,['N3']
出発,N4,N3,[]
付ける,N3,N5,"['N2', 'N3']"
心配,N4,N3,[]
輸出,N4,N3,[]
皆,N4,N5,"['N3', 'N4']"
鍵,N3,N5,['N3']
終わる,N1,N5,['N1']
ふり,N3,N1,[]
食事,N4,N3,[]
わざわざ,N3,N1,[]
出席,N4,N3,[]
招待,N4,N3,[]
余り,N3,N5,"['N1', 'N3']"
終,N3,N4,[]
ローマ字,N1,N2,['N1']
問,N1,N3,[]
挙げる,N2,N5,"['N2', 'N4']"
色々,N1,N5,['N1']
回り,N3,N4,[]
あえて,N2,N1,[]
本当,N3,N5,['N3']
釣り,N1,N3,['N1']
玩具,N1,N4,['N1']
度々,N1,N3,['N1']
喧嘩,N3,N4,['N3']
殆ど,N1,N4,['N1']
載せる,N2,N3,['N2']
