Word,JLPT_Level,JLPT_Jisho_Level
の,N5,
を,N5,
は,N5,
が,N5,
で,N5,
も,N5,
から,N5,
へ,N5,
です,N5,
ので,N5,
大,N3,
なら,N4,
全,N3,
機,N1,
各,N1,
未,N1,
件,N1,
重,N1,
副,N1,
まま,N3,
ものの,N2,
天,N1,
類,N1,
計,N3,
個,N1,
杯,N1,
業,N1,
著,N1,
空間,N1,
園,N1,
こそ,N3,
優,N1,
古,N1,
のに,N4,
反,N1,
魂,N1,
さえ,N3,
甲,N1,
規則,N4,
割,N1,
棟,N1,
毎,N1,
徐々に,N3,
仙,N1,
否,N3,
挨拶,N3,
兆,N1,
奴,N1,
溝,N1,
王女,N2,
平行,N1,
罰,N1,
一見,N1,
明白,N1,
傑,N1,
伯父/叔父,N5,
とり肉,N5,
伯父/叔父,N5,
ないでください,N5,
でしょう,N5,
堅/硬/固い,N4,
看護婦,N4,
連れる,N4,
そうです,N4,
てみる,N4,
金持ち,N3,
お目に掛かる,N3,
貸し,N3,
下す,N3,
ようにする,N3,
つもりで,N3,
ように,N3,
おかげで,N3,
一段と,N2,
けれど/けれども,N2,
しいんと,N2,
逸れる,N2,
塵芥,N2,
何といっても,N2,
以外の,N2,
がてら,N2,
通じて,N2,
思うように,N2,
やむをえず,N2,
ゆえに,N2,
それにしても,N2,
さすがに,N2,
さしつかえない,N2,
ごとし（如し）,N2,
かねない,N2,
せめて,N2,
くせに,N2,
至るまで,N2,
中腹,N1,
釣鐘,N1,
斑,N1,
捲る,N1,
凝らす,N1,
細やか,N1,
供,N1,
伐,N1,
拐う,N1,
違える,N1,
汚れ,N1,
出来物,N1,
伝言,N1,
凝る,N1,
伊井,N1,
擦れる,N1,
含嗽,N1,
華奢,N1,
